Dossiê;Oferta;Evento;Status;Inserido em;Atualizado em;Inseriu?;Atualizou?;Nem nem?;
13929;2359339;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
12802;2359380;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:45.000-03:00;;;;
12982;2359365;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:45.000-03:00;;;;
15583;2359352;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
15926;2359350;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
9290;2359325;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:44.000-03:00;;;;
11455;2359358;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:44.000-03:00;;;;
15202;2359351;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
16299;2359362;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
14781;2359326;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
11530;2359373;104390;Em processamento;2022-03-11T18:17:05.000-03:00;2022-03-11T18:39:44.000-03:00;;;;
14417;2359392;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
14619;2359366;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
10965;2359329;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:44.000-03:00;;;;
17141;2359345;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
16351;2359333;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
16970;2359354;104390;Em processamento;2022-03-11T18:17:03.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
16736;2359328;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:50.000-03:00;;;;
7923;2359346;104390;Em processamento;2022-03-11T18:17:02.000-03:00;2022-03-11T18:39:44.000-03:00;;;;
